kumu_id,label,node_type,contour,degree,degree_centrality,betweenness_centrality,closeness_centrality
org_president_rf,Институт Президента Российской Федерации,organization,ядро координации,65,0.23131672597864766,0.238015953712446,0.32863399945250477
pos_prime_minister,Председатель Правительства Российской Федерации,position,,27,0.09608540925266904,0.01419765415062822,0.23516928401188417
org_state_duma,Государственная Дума Федерального Собрания Российской Федерации,organization,воспроизводство и легитимация,24,0.08540925266903915,0.008998474834773765,0.18094201381620265
org_government_rf,Правительство Российской Федерации,organization,исполнение и принуждение,19,0.06761565836298931,0.06284951703101169,0.22485484173066117
org_federation_council,Совет Федерации Федерального Собрания Российской Федерации,organization,воспроизводство и легитимация,12,0.042704626334519574,0.0036180308422301298,0.16258003355578463
org_fsb_rf,Федеральная служба безопасности Российской Федерации,organization,исполнение и принуждение,7,0.02491103202846975,0.02188612099644128,0.20896835834751662
pos_dep_pm_khusnullin,Заместитель Председателя Правительства Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456747,0.20561592479113935
pos_dep_pm_patrushev,Заместитель Председателя Правительства Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456747,0.20561592479113935
pos_dep_pm_savelyev,Заместитель Председателя Правительства Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456747,0.20561592479113935
pos_dep_pm_golikova,Заместитель Председателя Правительства Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456747,0.20561592479113935
pos_dep_pm_trutnev,Заместитель Председателя Правительства Российской Федерации – полномочный представитель Президента Российской Федерации в Дальневосточном федеральном округе,position,,4,0.014234875444839857,0.0038107947805456747,0.20561592479113935
pos_dep_pm_novak,Заместитель Председателя Правительства Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456747,0.20561592479113935
pos_dep_pm_grigorenko,Заместитель Председателя Правительства Российской Федерации – Руководитель Аппарата Правительства Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456747,0.20561592479113935
pos_dep_pm_chernyshenko,Заместитель Председателя Правительства Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456747,0.20561592479113935
pos_chair_supreme_court,Председатель Верховного Суда Российской Федерации,position,,4,0.014234875444839857,0.007635812332050254,0.20561592479113935
pos_minister_natural_resources,Министр природных ресурсов и экологии Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_minister_agriculture,Министр сельского хозяйства Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_minister_education,Министр просвещения Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_minister_construction,Министр строительства и жилищно-коммунального хозяйства Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_minister_science,Министр науки и высшего образования Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_first_dep_pm,Первый заместитель Председателя Правительства Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456747,0.20561592479113935
pos_minister_labor,Министр труда и социальной защиты Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_minister_transport,Министр транспорта Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_minister_digital,"Министр цифрового развития, связи и массовых коммуникаций Российской Федерации",position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_minister_energy,Министр энергетики Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_minister_economy,Министр экономического развития Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_minister_justice,Министр юстиции Российской Федерации,position,,4,0.014234875444839857,0.0040680151063984295,0.20616717391926573
pos_minister_foreign_affairs,Министр иностранных дел Российской Федерации,position,,4,0.014234875444839857,0.0040680151063984295,0.20616717391926573
pos_minister_finance,Министр финансов Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_minister_health,Министр здравоохранения Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_minister_industry_trade,Министр промышленности и торговли Российской Федерации,position,,4,0.014234875444839857,0.0038107947805456756,0.20561592479113935
pos_director_rosgvardiya,Директор Федеральной службы войск национальной гвардии Российской Федерации,position,,3,0.010676156583629894,0.003949996368654216,0.2045222230635269
pos_chair_constitutional_court,Председатель Конституционного Суда Российской Федерации,position,,3,0.010676156583629894,0.003949996368654215,0.2045222230635269
pos_chair_cbr,Председатель Центрального банка Российской Федерации (Банка России),position,,3,0.010676156583629894,0.0038107947805456756,0.2045222230635269
pos_minister_emergencies,"Министр Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",position,,3,0.010676156583629894,0.003949996368654222,0.2045222230635269
org_minfin,Министерство финансов Российской Федерации,organization,исполнение и принуждение,3,0.010676156583629894,0.007397051347229284,0.15888503279315314
prs_kiriyenko,Сергей Кириенко,person,,3,0.010676156583629894,0.007397051347229284,0.1490316974261359
pos_minister_internal_affairs,Министр внутренних дел Российской Федерации,position,,3,0.010676156583629894,0.003949996368654215,0.2045222230635269
pos_minister_defense,Министр обороны Российской Федерации,position,,3,0.010676156583629894,0.003949996368654215,0.2045222230635269
pos_chair_accounts_chamber,Председатель Счетной палаты Российской Федерации,position,,3,0.010676156583629894,0.003949996368654222,0.2045222230635269
pos_director_svr,Директор Службы внешней разведки Российской Федерации,position,,3,0.010676156583629894,0.003949996368654222,0.2045222230635269
pos_director_fsb,Директор Федеральной службы безопасности Российской Федерации,position,,3,0.010676156583629894,0.003949996368654215,0.2045222230635269
pos_prosecutor_general,Генеральный прокурор Российской Федерации,position,,3,0.010676156583629894,0.003949996368654215,0.2045222230635269
pos_head_ap,Руководитель Администрации Президента Российской Федерации,position,,2,0.0071174377224199285,0.0037112353838332493,0.20344009489916962
pos_security_council_secretary,Секретарь Совета Безопасности Российской Федерации,position,,2,0.0071174377224199285,0.0037112353838332493,0.20344009489916962
